category_name,name,api_poiName,api_poiBrand,name_ref_nrm,name_prov_nrm,location_distance_m,match,match_code,cnn_match,edit_distance_match,name_matching,cnn_name_match_score
Automotive Dealer,manchester autoz,manchester autoz,[Manchester Autoz],manchester autoz,manchester autoz,77.51318,True,1,True,True,1.0,0.99999994
Shopping Center,richmond gardens shopping centre,richmond gardens shopping centre,[Richmond Gardens Shopping Centre],richmond gardens shopping centre,richmond gardens shopping centre,4.766191,True,1,True,True,1.0,0.99999994
Railway Station,kildale,kildale,[Kildale],kildale,kildale,6.930239,True,1,True,True,1.0,0.9999337
Restaurant,fishtastic,fishtastic,[Fishtastic],fishtastic,fishtastic,90.11133,True,1,True,True,1.0,0.9999984
Beach,west bay beach dorset,west bay discovery centre,[West Bay Discovery Centre],bay dorset,bay,389.58685,True,1,True,True,1.0,0.9997987
Café/Pub,mad hatter,mad hatter,[Mad Hatter],mad hatter,mad hatter,58.563408,True,1,True,True,1.0,0.9999312
Automotive Dealer,k r cars,k r cars,[K R Cars],k r,k r,3.1725779,True,1,True,True,1.0,0.9970688
Beach,branscombe beach,branscombe beach,[Branscombe Beach],branscombe,branscombe,119.98803,True,1,True,True,1.0,0.9999182
Place of Worship,all saints church thornton dale,all saints,[All Saints],all saints thornton dale,all saints,9.004988,True,1,True,True,1.0,0.9993764
Museum,grangemouth heritage trust,grangemouth museum,[Grangemouth Museum],grangemouth heritage trust,grangemouth,49.74011,True,1,True,True,1.0,0.9998668
Museum,winchesters military museums,winchesters military museums,[Winchester's Military Museums],winchesters military museums,winchesters military museums,165.00377,True,1,True,True,1.0,1.0
Sports Center,ardwick sports hall,better ardwick sports hall,[Better],ardwick hall,better ardwick hall,25.534374,True,1,True,True,1.0,0.99993443
Market,lichfield market,specsavers,[Specsavers],lichfield,specsavers audiologists lichfield,23.371998,True,1,True,True,1.0,0.97055244
Restaurant,chocoa,chocoa,[Chocoa],chocoa,chocoa,196.42479,True,1,True,True,1.0,0.9991352
Museum,marlow museum,marlow museum,[Marlow Museum],marlow,marlow,7.224554,True,1,True,True,1.0,0.99813265
Camping Ground,centenary way camping and caravan park,centenary way camping caravan park,[Centenary Way Camping & Caravan Park],centenary way caravan park,centenary way caravan park,56.08373,True,1,True,True,1.0,0.9999341
Shopping Center,emery gate shopping centre,emery gate shopping centre,[Emery Gate Shopping Centre],emery gate shopping centre,emery gate shopping centre,76.2777,True,1,True,True,1.0,1.0
Museum,christ church picture gallery,christ church picture gallery,[Christ Church Picture Gallery],christ church picture gallery,christ church picture gallery,7.9449654,True,1,True,True,1.0,1.0
Beach,eype beach,eype centre for the arts,[Eype Centre For The Arts],eype,eype centre arts,845.68195,True,1,True,True,1.0,0.99839437
Restaurant,8848 restaurant,8848 restaurant,[8848 Restaurant],8848,8848,19.13764,True,1,True,True,1.0,0.99989945
School,bewcastle primary school,bewcastle school,[Bewcastle School],bewcastle primary,bewcastle,83.91099,True,1,True,True,1.0,0.99946684
Shopping Center,milsom place,milsom place,[Milsom Place],milsom place,milsom place,17.780945,True,1,True,True,1.0,0.9999423
Bank,bank of scotland,bank of scotland edinburgh comely bank,[Bank of Scotland], bank  of  scotland , bank  of  scotland ,0.0,True,1,True,True,1.0,0.9999841
School,roecroft lower school,roecroft lower school,[Roecroft Lower School],roecroft lower,roecroft lower,47.950798,True,1,True,True,1.0,0.99999964
Railway Station,aylesham,aylesham,[Aylesham],aylesham,aylesham,58.966675,True,1,True,True,1.0,0.9999792
School,the triple crown centre,triple crown centre,[Triple Crown Centre],triple crown centre,triple crown centre,10.187915,True,1,True,True,1.0,0.9999787
Shop,b m store,b m ferryhill,[B&M], bandm , bandm ,2.5453417,True,1,True,True,1.0,0.99875396
Camping Ground,camping roche,camping roche,[Camping Roche],roche,roche,1.4665942,True,1,True,True,1.0,0.99820393
Camping Ground,camping bungalows complejo turistico la mata,camping la mata,[Camping La Mata],bungalows complejo turistico mata,mata,3.34483,True,1,True,True,1.0,0.78413737
Restaurant,bar restaurante parrilla argentina caminito,restaurante caminito,[Restaurante Caminito],bar parrilla argentina caminito,caminito,8.80622,True,1,True,True,1.0,0.9991129
Restaurant,restaurante la parrilla de andorina,andorina,[Andorina],parrilla andorina,andorina,118.48072,True,1,True,True,1.0,0.9959575
Café/Pub,hotel la posada,lujoky,[Lujoky],hotel posada,lujoky,408.49402,False,6,False,False,0.2199999988079071,1.3074335e-05
Beach,playa de figueral,es figueral,[Es Figueral],playa figueral,es figueral,1581.9535,True,1,True,True,0.8399999737739563,0.9994017
Beach,cala de la fustera,cala de la fustera,[Cala de la Fustera],cala fustera,cala fustera,30.695158,True,1,True,True,1.0,0.9999816
Museum,barcelona history museum muhba,muhba museo de historia de barcelona,[MUHBA Museo de Historia de Barcelona],barcelona history muhba,muhba historia barcelona,4.5581903,True,1,True,True,0.9399999976158142,0.9999572
Bank,caixabank,caixabank segorbe fray luis amigo,[CaixaBank], caixabank , caixabank ,0.0,True,1,True,True,1.0,0.9997931
Camping Ground,camping alcornocales,camping los alcornocales,[Camping Los Alcornocales],alcornocales,alcornocales,3.1039226,True,1,True,True,1.0,0.9998195
Railway Station,san isidro albatera catral,san isidro albatera catral,[San Isidro-Albatera-Catral],san isidro albatera catral,san isidro albatera catral,29.64118,True,1,True,True,1.0,1.0
Beach,praia da rapadoira,praia da rapadoira,[Praia da Rapadoira],da rapadoira,da rapadoira,49.723316,True,1,True,True,1.0,0.99994576
Restaurant,meson rudron,meson rudron,[Meson Rudron],rudron,rudron,0.0,True,1,True,True,1.0,0.99898523
Place of Worship,cristo de rivas,ermita cristo de rivas,[Ermita Cristo de Rivas],cristo rivas,ermita cristo rivas,9.798817,True,1,True,True,1.0,0.9999615
School,escuela publica de musica aralar,escuela publica de musica aralar,[Escuela Pública de Música Aralar],publica musica aralar,publica musica aralar,65.82654,True,1,True,True,1.0,0.9999977
Automotive Dealer,scotlands car buyer edinburgh,edinburgh tesla,[Tesla],scotlands buyer edinburgh,edinburgh tesla,727.9996,False,2,True,True,0.75,0.8112208
Shopping Center,the avenue,the avenue shopping centre,[The Avenue Shopping Centre],avenue,avenue shopping centre,51.28952,True,1,True,True,1.0,0.9984313
Museum,monument,double somersault monument,[Double Somersault Monument],monument,double somersault monument,293.57275,True,1,True,True,1.0,0.98095495
Hotel Or Motel,elaghvale b b,elaghvale b and b,[Elaghvale B And B],elaghvale b b,elaghvale b b,5.1792064,True,1,True,True,1.0,0.99998885
Shopping Center,rosemary street shopping centre,rosemary centre,[Rosemary Centre],rosemary street shopping centre,rosemary centre,190.83798,True,1,True,True,1.0,0.9996595
Park and Recreation Area,bourne recreation ground,bourne recreation ground,[Bourne Recreation Ground],bourne recreation ground,bourne recreation ground,76.05245,True,1,True,True,1.0,0.9999955
Railway Station,sittingbourne,sittingbourne,[Sittingbourne],sittingbourne,sittingbourne,12.371765,True,1,True,True,1.0,0.99929637
School,thornton dale c of e primary school,thornton dale cofe primary school,[Thornton Dale CofE Primary School],thornton dale c e primary,thornton dale cofe primary,116.87762,True,1,True,True,0.9399999976158142,0.9998168
Park and Recreation Area,harford park,harford park,[Harford Park],harford,harford,102.68941,True,1,True,True,1.0,0.9977263
Important Tourist Attraction,cadbury world,cadbury world,[Cadbury World],cadbury world,cadbury world,4.119804,True,1,True,True,1.0,0.99531454
Hotel Or Motel,premier inn wigan m6 j25 hotel,premier inn,[Premier Inn], premier  inn , premier  inn ,99.859184,True,1,True,True,1.0,0.9998664
Railway Station,eridge,eridge,[Eridge],eridge,eridge,46.41432,True,1,True,True,1.0,0.99562
School,corstorphine primary school,corstorphine primary school,[Corstorphine Primary School],corstorphine primary,corstorphine primary,17.954039,True,1,True,True,1.0,0.99966407
Camping Ground,broadlands farm touring caravan site,broadlands farm touring caravan site,[Broadlands Farm Touring Caravan Site],broadlands farm touring caravan site,broadlands farm touring caravan site,204.3406,True,1,True,True,1.0,1.0
Museum,south yorkshire transport museum,south yorkshire transport museum,[South Yorkshire Transport Museum],south yorkshire transport,south yorkshire transport,20.500574,True,1,True,True,1.0,0.9999999
Restaurant,no 30 stornoway,no 30,[No.30],no 30 stornoway,no 30,73.39606,True,1,True,True,1.0,0.99977684
Airport,hartsfield jackson atlanta,hartsfield jackson atlanta international airport,[Hartsfield-Jackson Atlanta International Airport],hartsfield jackson atlanta,hartsfield jackson atlanta,1510.9535,True,1,True,True,1.0,0.9999939
Airport,cliff hatfield memorial,cliff hatfield memorial airport,[Cliff Hatfield Memorial Airport],cliff hatfield memorial,cliff hatfield memorial,473.6295,True,1,True,True,1.0,0.999992
Airport,idaho falls,idaho falls regional airport,[Idaho Falls Regional Airport],idaho falls,idaho falls,242.85306,True,1,True,True,1.0,0.99995524
Airport,mason city,mason city municipal airport,[Mason City Municipal Airport],mason city,mason city,1945.5756,True,1,True,True,1.0,0.99701214
Airport,selfs,selfs airport,[Selfs Airport],selfs,selfs,74.97934,True,1,True,True,1.0,0.9975695
Airport,spencer,spencer municipal airport,[Spencer Municipal Airport],spencer,spencer,1416.7166,True,1,True,True,1.0,0.9997036
Airport,ukiah,ukiah municipal airport,[Ukiah Municipal Airport],ukiah,ukiah,271.34415,True,1,True,True,1.0,0.9938747
Hotel Or Motel,lord nelson inn,lord nelson inn,[Lord Nelson Inn],lord nelson,lord nelson,25.01221,True,1,True,True,1.0,0.9997681
Place of Worship,lakewood chapel,lakewood chapel,[Lakewood Chapel],lakewood chapel,lakewood chapel,3.8702943,True,1,True,True,1.0,0.9999999
Important Tourist Attraction,mammoth hot springs,mammoth hot springs upper terrace,[Mammoth Hot Springs - Upper Terrace],mammoth hot springs,mammoth hot springs upper terrace,253.7325,True,1,True,True,1.0,0.99999744
Beach,woods cove,woods cove,[Woods Cove],woods cove,woods cove,39.367428,True,1,True,True,1.0,0.99991953
Camping Ground,370 lakeside park,370 lakeside park,[370 Lakeside Park],370 lakeside park,370 lakeside park,656.0698,True,1,True,True,1.0,0.9999004
Camping Ground,dlo water park,dlo water park,[Dlo Water Park],dlo water park,dlo water park,95.88052,True,1,True,True,1.0,0.99970686
Automotive Dealer,delaos auto sales,delao auto sales,[Delao Auto Sales],delaos sales,delao sales,70.82599,True,1,True,True,0.959999978542328,0.9998825
Museum,ypsilanti historical museum archives,ypsilanti museum archives,[Ypsilanti Museum Archives],ypsilanti historical archives,ypsilanti archives,10.7099495,True,1,True,True,1.0,0.99999255
Market,market basket,redbox,[Redbox], market  basket , market  basket ,3.5756545,True,1,True,True,1.0,0.9999836
Hotel Or Motel,extended stay america boston westborough computer dr,extended stay deluxe,[Extended Stay Deluxe], extended  stay  america , extended  stay  deluxe ,27.128841,True,1,True,True,0.7900000214576721,0.9980848
Restaurant,marios italian restaurant,marios italian restaurant,[Mario's Italian Restaurant],marios,marios,12.350692,True,1,True,True,1.0,0.99844605
School,mishawaka schools,mishawaka schools,[Mishawaka Schools],mishawaka schools,mishawaka schools,28.154913,True,1,True,True,1.0,0.9999999
School,lake havasu charter schools,lake havasu charter schools,[Lake Havasu Charter Schools],lake havasu charter schools,lake havasu charter schools,131.32024,True,1,True,True,1.0,1.0
Camping Ground,gulls way campground,gulls way campground,[Gulls Way Campground],gulls way campground,gulls way campground,180.65173,True,1,True,True,1.0,0.99999917
Shopping Center,jupiter west plaza,jupiter west plaza,[Jupiter West Plaza],jupiter plaza,jupiter plaza,77.90196,True,1,True,True,1.0,0.99991506
Automotive Dealer,auto city,auto city,[Auto City],city,city,13.752735,True,1,True,True,1.0,0.9937809
Sports Center,underground gym,underground gym,[Underground Gym],underground,underground,799.5069,True,1,True,True,1.0,0.99990886
Bank,tsb bank,tsb this site closed wef 30th june 2023,[TSB], tsb , tsb ,0.0,True,1,True,True,1.0,0.99787456
School,stopsley high school,stopsley high school and community college,[Stopsley High School and Community College],stopsley high,stopsley high community college,122.403046,True,1,True,True,1.0,0.9999746
Shop,co op food stotfold,k9 boutique stotfold,[K9 Boutique Stotfold],co op food stotfold,k9 stotfold,490.8932,True,1,True,True,0.8399999737739563,0.98891544
Museum,hove museum art gallery,hove museum and art gallery,[Hove Museum And Art Gallery],hove gallery,hove gallery,5.968069,True,1,True,True,1.0,0.99999917
Automotive Dealer,ejm car sales,ejm car sales,[Ejm Car Sales],ejm sales,ejm sales,4.8455954,True,1,True,True,1.0,0.99996525
Shopping Center,ealing broadway,three ealing broadway sc,[Three],ealing broadway,three ealing broadway sc,20.54598,True,1,True,True,1.0,0.9999672
Railway Station,hunmanby,hunmanby,[Hunmanby],hunmanby,hunmanby,40.364254,True,1,True,True,1.0,0.9994054
Park and Recreation Area,roath recreation ground,roath recreation ground,[Roath Recreation Ground],roath recreation ground,roath recreation ground,105.86918,True,1,True,True,1.0,0.99999964
Automotive Dealer,s denner cars,s denner cars,[S Denner Cars],s denner,s denner,2.7770472,True,1,True,True,1.0,0.99696183
Railway Station,lapford,lapford,[Lapford],lapford,lapford,56.95048,True,1,True,True,1.0,0.9968882
Shop,a ks news booze,hillmorton news booze,[Hillmorton News & Booze],a ks news booze,hillmorton news booze,23.49909,True,1,True,True,0.800000011920929,0.9983013
Market,rosemount market,rosemount market,[Rosemount Market],rosemount,rosemount,11.496152,True,1,True,True,1.0,0.9993994
Railway Station,chafford hundred,chafford hundred,[Chafford Hundred],chafford hundred,chafford hundred,10.796586,True,1,True,True,1.0,0.9999919
Airport,bristol,bristol airport,[Bristol Airport],bristol,bristol,667.8692,True,1,True,True,1.0,0.99998736
School,preston primary school,preston primary school,[Preston Primary School],preston primary,preston primary,52.983955,True,1,True,True,1.0,0.99864686
Shopping Center,beach boulevard retail park,beach boulevard retail park,[Beach Boulevard Retail Park],beach boulevard retail park,beach boulevard retail park,17.419483,True,1,True,True,1.0,0.9999992
School,st christophers catholic primary school,saint christophers primary school,[Saint Christopher's Primary School],st christophers catholic primary,saint christophers primary,62.760174,True,1,True,True,0.8700000047683716,0.9997561
Beach,alnmouth beach,alnmouth bay,[Alnmouth Bay],alnmouth,alnmouth bay,335.88974,True,1,True,True,1.0,0.998533
Camping Ground,outerbounds camping,outerbounds camping,[Outerbounds Camping],outerbounds,outerbounds,4.7623444,True,1,True,True,1.0,0.9999201
Shopping Center,quadrant shopping centre,quadrant shopping,[Quadrant Shopping],quadrant shopping centre,quadrant shopping,29.249344,True,1,True,True,1.0,0.99999976
Camping Ground,riverside camp site,riverside park,[Riverside Park],riverside camp site,riverside park,976.2722,True,1,True,True,0.7799999713897705,0.97395384
Railway Station,welshpool,welshpool,[Welshpool],welshpool,welshpool,81.356674,True,1,True,True,1.0,0.9999994
Automotive Dealer,mjs car sales,mjs car sales,[Mjs Car Sales],mjs sales,mjs sales,67.02141,True,1,True,True,1.0,0.99998623
Railway Station,homerton,homerton,[Homerton],homerton,homerton,9.366875,True,1,True,True,1.0,0.9999603
Museum,museum of liverpool,museum of liverpool,[Museum Of Liverpool],liverpool,liverpool,2.2448611,True,1,True,True,1.0,0.9999447
Camping Ground,chertsey camping and caravanning club site,chertsey caravan and camping club site,[Chertsey Caravan And Camping Club Site],chertsey caravanning club site,chertsey caravanning club site,126.41255,True,1,True,True,1.0,0.99999994
Railway Station,hoylake,hoylake,[Hoylake],hoylake,hoylake,13.804417,True,1,True,True,1.0,0.9998359
School,dundale primary school nursery,dundale primary school and nursery,[Dundale Primary School and Nursery],dundale primary nursery,dundale primary nursery,48.678356,True,1,True,True,1.0,0.9999799
Automotive Dealer,burford car sales,burford car sales,[Burford Car Sales],burford sales,burford sales,270.11893,True,1,True,True,1.0,0.9998206
Market,melchor ocampo,almacen rural melchor ocampo,[Almacen Rural Melchor Ocampo],melchor ocampo,almacen rural melchor ocampo,1064.0928,True,1,True,True,1.0,0.9995941
School,cbta ndeg 288,centro de bachillerato tecnologico agropecuario num 288 cbta de cutzamala del p,[Centro De Bachillerato Tecnológico Agropecuario Num. 288 Cbta De Cutzamala Del P],cbta ndeg 288,centro bachillerato tecnologico agropecuario num 288 cbta cutzamala p,798.8961,True,1,True,True,0.7599999904632568,0.97609293
Museum,centro dzibilchaltun yucatan,dzibilchantun,[dzibilchantun],centro dzibilchaltun yucatan,dzibilchantun,1065.5273,False,6,True,False,0.5899999737739563,0.9999989
Automotive Dealer,dalton matehuala,sd matehuala,[Sd Matehuala],dalton matehuala,sd matehuala,856.06824,False,2,True,True,0.8600000143051147,0.9989025
Shopping Center,st davids dewi sant,st davids dewi sant,[Zara],st davids dewi sant,st davids dewi sant,180.73343,True,1,True,True,1.0,0.99999404
Place of Worship,the parish church of saint john the evangelist,the parish church of saint john the evangelist,[The Parish Church of Saint John the Evangelist],parish saint john evangelist,parish saint john evangelist,14.432549,True,1,True,True,1.0,0.99999994
Railway Station,downham market,downham market,[Downham Market],downham market,downham market,6.2192535,True,1,True,True,1.0,0.9999774
Sports Center,queen mother sports centre,queen mother sports centre,[Queen Mother Sports Centre],queen mother centre,queen mother centre,41.538517,True,1,True,True,1.0,0.99999684
Automotive Dealer,western toyota,motability scheme at western toyota newbridge,[Motability Scheme At Western Toyota Newbridge], toyota , toyota ,8.84741,True,1,True,True,1.0,0.99997973
Automotive Dealer,london city cars,london city cars,[London City Cars],london city,london city,3.4238648,True,1,True,True,1.0,0.99793005
Bank,santander,santander,[Santander], santander , santander ,30.628996,True,1,True,True,1.0,0.99998826
Restaurant,fratelli tavola calda,fratelli tavola calda,[Fratelli Tavola Calda],fratelli tavola calda,fratelli tavola calda,6.801457,True,1,True,True,1.0,1.0
Bank,barclays bank,luton 3,[Barclays], barclays , barclays ,2.6394703,True,1,True,True,1.0,0.9999807
Place of Worship,st mary the virgin drayton beauchamp,st mary the virgin,[St Mary the Virgin],st mary virgin drayton beauchamp,st mary virgin,2.8725972,True,1,True,True,1.0,0.99948317
Railway Station,teynham,teynham,[Teynham],teynham,teynham,9.410168,True,1,True,True,1.0,0.9996767
Place of Worship,victory praise community church,victory praise community church,[Victory Praise Community Church],victory praise community,victory praise community,4.389909,True,1,True,True,1.0,0.9999947
Hotel Or Motel,the maindee hotel,the maindee hotel,[The Maindee Hotel],maindee,maindee,312.8321,True,1,True,True,1.0,0.99791634
Railway Station,barnstaple,barnstaple,[Barnstaple],barnstaple,barnstaple,13.81577,True,1,True,True,1.0,0.9999703
Bank,barclays bank,barclays amersham,[Barclays], barclays , barclays ,1.9295044,True,1,True,True,1.0,0.9999807
Automotive Dealer,castlefield car centre,castlefield car centre,[Castlefield Car Centre],castlefield centre,castlefield centre,1.3190246,True,1,True,True,1.0,0.99997234
Place of Worship,ballymena gospel hall,ballymena gospel hall,[Ballymena Gospel Hall],ballymena gospel hall,ballymena gospel hall,51.770424,True,1,True,True,1.0,1.0
Museum,royal air force museum,royal air force museum midlands,[Royal Air Force Museum Midlands],royal air force,royal air force midlands,2.3368578,True,1,True,True,1.0,0.99998355
Hotel Or Motel,hotel castilla vieja,hotel castilla vieja,[Hotel Castilla Vieja],castilla vieja,castilla vieja,36.714886,True,1,True,True,1.0,0.99999005
Automotive Dealer,auto salon mallorca,auto salon mallorca,[Auto Salon Mallorca],salon mallorca,salon mallorca,9.488421,True,1,True,True,1.0,0.999795
Shopping Center,centro comercial abc serrano,abc serrano,[ABC Serrano],centro comercial abc serrano,abc serrano,23.673101,True,1,True,True,1.0,0.9997703
Restaurant,sidreria plaza,sidreria plaza,[Sidreria Plaza],sidreria plaza,sidreria plaza,20.667028,True,1,True,True,1.0,0.9999056
Restaurant,restaurante xuscos,xuscos,[Xuscos],xuscos,xuscos,26.93363,True,1,True,True,1.0,0.99999934
Beach,playa de melenara,playa de melenara,[Playa de Melenara],playa melenara,playa melenara,78.905754,True,1,True,True,1.0,0.9999931
Restaurant,el candil,meson restaurante el candil,[Meson Restaurante El Candil],el candil,el candil,14.933891,True,1,True,True,1.0,0.99908286
School,san bartolome public school,colegio publico san bartolome,[Colegio Público San Bartolomé],san bartolome public,san bartolome,243.97394,True,1,True,True,1.0,0.99996537
Restaurant,restaurante ronquillo,ronquillo restaurante,[Ronquillo Restaurante],ronquillo,ronquillo,12.729051,True,1,True,True,1.0,0.99999106
Shop,nisa local ivalley retail network,local,[Local], nisa , nisa ,28.815876,True,1,True,True,1.0,0.9997274
Camping Ground,pelerine caravan camping site,pelerine caravan camping site,[Pelerine Caravan & Camping Site],pelerine caravan site,pelerine caravan site,24.557632,True,1,True,True,1.0,0.9999968
Park and Recreation Area,little acre fen pocket park,little acre fen pocket park,[Little Acre Fen Pocket Park],little acre fen pocket,little acre fen pocket,44.0096,True,1,True,True,1.0,0.999753
Restaurant,fusion king,fusion king,[Fusion King],fusion king,fusion king,22.577972,True,1,True,True,1.0,0.9999901
Camping Ground,doward park campsite,doward park campsite,[Doward Park Campsite],doward park campsite,doward park campsite,44.746998,True,1,True,True,1.0,0.9999526
Automotive Dealer,tunstall car trade sales,tunstall,[Toolstation],tunstall trade sales,tunstall,372.9665,True,1,True,True,1.0,0.9999334
School,berkswich c of e primary school,berkswich cofe vc primary school,[Berkswich CofE (VC) Primary School],berkswich c e primary,berkswich cofe vc primary,96.5433,True,1,True,True,0.8899999856948853,0.99856853
Important Tourist Attraction,sandfields pumping station,sandfields pumping station,[Sandfields Pumping Station],sandfields pumping,sandfields pumping,4.323335,True,1,True,True,1.0,0.99999994
Camping Ground,poachers patch caravan and campsite gm,poachers patch,[Poachers Patch],poachers patch caravan campsite gm,poachers patch,98.946846,True,1,True,True,1.0,0.99988973
Shop,expressvapes,expressvapes,[Expressvapes],expressvapes,expressvapes,4.779607,True,1,True,True,1.0,0.99998623
Museum,ashmolean museum,ashmolean museum of art and archaeology,[Ashmolean Museum Of Art And Archaeology],ashmolean,ashmolean archaeology,11.882912,True,1,True,True,1.0,0.9999852
Camping Ground,tan y graig,tan y graig,[Tan Y Graig],tan y graig,tan y graig,1.6404659,True,1,True,True,1.0,0.99992037
Shopping Center,nervion plaza,nervion plaza,[Nervión Plaza],nervion plaza,nervion plaza,0.4324636,True,1,True,True,1.0,0.9993196
Automotive Dealer,dacia ibiza punicauto,punicauto,[Dacia], dacia , dacia ,42.589745,True,1,True,True,1.0,0.9980036
Sports Center,la mar bella municipal sports complex,complejo deportivo municipal de la mar bella,[Complejo Deportivo Municipal de La Mar Bella],mar bella municipal complex,complejo deportivo municipal mar bella,39.41439,True,1,True,True,0.8299999833106995,0.99998885
School,hastings school azulinas primary,hastings school,[Hastings School],hastings azulinas primary,hastings,398.5696,True,1,True,True,1.0,0.999954
Museum,salinae centro arqueoloxico do areal,salinae,[Salinae],salinae centro arqueoloxico do areal,salinae,270.7668,True,1,True,True,1.0,0.9807431
Camping Ground,camping o telleiro,camping otelleiro,[Camping O'Telleiro],o telleiro,otelleiro,42.99264,True,1,True,True,0.949999988079071,0.9996788
Beach,els canyers beach,cala canyers,[Cala Canyers],els canyers,cala canyers,2763.861,True,1,True,True,0.7799999713897705,0.9945983
Shopping Center,la farga,la farga,[La Farga],farga,farga,28.818176,True,1,True,True,1.0,0.9986679
Beach,platja de la creu,platja de la creu,[Platja de la Creu],platja creu,platja creu,507.43076,True,1,True,True,1.0,0.9999755
Shopping Center,centre comercial finestrelles,finestrelles,[Finestrelles],centre comercial finestrelles,finestrelles,6.530772,True,1,True,True,1.0,0.999948
Beach,praia de susinos,praia dos susinos,[Praia dos Susiños],susinos,dos susinos,4.6717687,True,1,True,True,1.0,0.99997604
Shopping Center,centro comercial open mall lanzarote,open mall lanzarote,[Open Mall Lanzarote],centro comercial open mall lanzarote,open mall lanzarote,555.3829,True,1,True,True,1.0,0.99999315
Museum,sant feliu de guixols history museum,museu dhistoria de la ciutat de sant feliu de guixols,[Museu d'Història de la Ciutat de Sant Feliu de Guíxols],sant feliu guixols history,museu dhistoria ciutat sant feliu guixols,33.214603,True,1,True,True,0.8199999928474426,0.9999911
Shopping Center,plaza altabrisa tabasco,plaza altabrisa,[Plaza Altabrisa],plaza altabrisa tabasco,plaza altabrisa,45.824993,True,1,True,True,1.0,0.99999005
Restaurant,restaurant la morena,gorditas la morena,[Gorditas La Morena],morena,gorditas morena,75.59363,True,1,True,True,1.0,0.999195
Shopping Center,insurgentes mall,sub agencia insurgentes,[Sub Agencia Insurgentes],insurgentes mall,sub agencia insurgentes,175.89616,True,1,True,True,0.8100000023841858,0.96008885
Beach,praia das covas,praia das covas,[Praia das Covas],das covas,das covas,72.1691,True,1,True,True,1.0,0.99988836
School,the english school gandia,helen doron early english gandia,[Helen Doron Early English Gandia],english gandia,helen doron early english gandia,129.10435,True,1,True,True,1.0,0.9999839
Railway Station,montes claros,montes claros,[Montes Claros],montes claros,montes claros,4.787692,True,1,True,True,1.0,0.9997496
Restaurant,la marina restaurante,marisqueria la marina,[Marisqueria La Marina],marina,marisqueria marina,33.01361,True,1,True,True,1.0,0.9995027
Bank,oficina banco santander,santander atm,[Santander], santander , santander ,14.037127,True,1,True,True,1.0,0.99998826
Market,supermercados la plaza de dia,la plaza de dia,[La Plaza de DIA], la  plaza  de  dia , la  plaza  de  dia ,1.7795498,True,1,True,True,1.0,0.99917465
Restaurant,meson do portelo,do portelo,[Do Portelo],do portelo,do portelo,23.15664,True,1,True,True,1.0,0.9996107
Place of Worship,iglesia de san cornelio y san cipriano,iglesia parroquial de san cornelio y san cipriano,[Iglesia Parroquial de San Cornelio y San Cipriano],iglesia san cornelio y san cipriano,iglesia parroquial san cornelio y san cipriano,7.8157496,True,1,True,True,1.0,1.0
Shopping Center,centre comercial mercat sagrada familia,sensation sagrada familia,[Sensation Sagrada Familia],centre comercial mercat sagrada familia,sensation sagrada familia,420.73557,True,1,True,True,0.75,0.9999354
Restaurant,curry hut,curry hut stotfold,[Curry Hut Stotfold],curry hut,curry hut stotfold,33.1059,True,1,True,True,1.0,0.99400884
Hotel Or Motel,travel stop motel,travel stop motel,[Travel Stop Motel],travel stop,travel stop,19.445057,True,1,True,True,1.0,0.99999017
Shopping Center,howgate shopping centre,howgate shopping centre,[Howgate Shopping Centre],howgate shopping centre,howgate shopping centre,185.73337,True,1,True,True,1.0,1.0
Automotive Dealer,midland mustangs ltd,midland mustangs,[Midland Mustangs],midland mustangs,midland mustangs,81.354546,True,1,True,True,1.0,0.9999971
School,chetwynd junior school,chetwynd junior school,[Chetwynd Junior School],chetwynd junior,chetwynd junior,49.88537,True,1,True,True,1.0,0.9999677
Park and Recreation Area,mile oak road park,mile oak road open space,[Mile Oak Road Open Space],mile oak road,mile oak road open space,9.8809395,True,1,True,True,1.0,0.99976027
Museum,ragged school museum,ragged school museum,[Ragged School Museum],ragged school,ragged school,3.5922177,True,1,True,True,1.0,0.99999905
Museum,the mad museum,the mad museum,[The Mad Museum],mad,mad,2.8592846,True,1,True,True,1.0,0.9892854
Automotive Dealer,beechwood mazda,beechwood mazda derby,[Mazda], mazda , mazda ,4.403702,True,1,True,True,1.0,0.99970865
Restaurant,mela,mela,[Mela],mela,mela,13.798286,True,1,True,True,1.0,0.99802196
Railway Station,cowden,cowden,[Cowden],cowden,cowden,19.152853,True,1,True,True,1.0,0.99978304
Museum,the viktor wynd museum of curiosities fine art unnatural history,the viktor wynd museum of curiosities,[The Viktor Wynd Museum Of Curiosities],viktor wynd curiosities fine unnatural history,viktor wynd curiosities,5.9389477,True,1,True,True,1.0,0.99999744
Shopping Center,centro comercial parqueastur,centro comercial parqueastur,[Centro Comercial ParqueAstur],centro comercial parqueastur,centro comercial parqueastur,17.93456,True,1,True,True,1.0,1.0
Restaurant,restaurante la central,restaurante la central,[Restaurante La Central],central,central,9.291782,True,1,True,True,1.0,0.99833566
Railway Station,estacion de atocha cercanias,atocha,[Atocha],atocha cercanias,atocha,137.79918,True,1,True,True,1.0,0.99988735
Automotive Dealer,mercedes benz aguinaga,aguinaga,[Mercedes-Benz],mercedes benz aguinaga,aguinaga,15.032538,True,1,True,True,1.0,0.99562293
